title,date,type,authors,venue,link,description
Dynamic Management of Identity Federations using Blockchain.,2021,conference,"Alom, I., Eshita, R. M, Harun, A. I., Ferdous, M. S., Shuhan, M. K. B., Chowdhury, M. J. M., Rahman, M. S",Proceedings of the 3rd IEEE Communications Society (ComSoc) sponsored conference on Blockchain and Cryptocurrency (ICBC),https://msferdous.info/DynaSAMLPersonal.pdf,"Federated Identity Management (FIM) is a model of identity management in which different trusted organizations can provide secure online services to their uses. Security Assertion Markup Language (SAML) is one of the widely-used technologies for FIM. However, a SAML-based FIM has two significant issues: the metadata (a crucial component in SAML) has security issues, and federation management is hard to scale. The concept of dynamic identity federation has been introduced, enabling previously unknown entities to join in a new federation facilitating inter-organization service provisioning to address federation management’s scalability issue. However, the existing dynamic federation approaches have security issues concerning confidentiality, integrity, authenticity, and transparency. In this paper, we present the idea of facilitating dynamic identity federations utilizing blockchain technology to improve the existing approaches’ security issues. We demonstrate its architecture based on a rigorous threat model and requirement analysis. We also discuss its implementation details, current protocol flows and analyze its performance to underline its applicability"
A Cross-Layer Trust-based Consensus Protocol for Peer-to-Peer Energy Trading Using Fuzzy Logic.,2021,journal,"Chowdhury, M. J. M., Usman, M., Ferdous, M. S., Chowdhury, N., Harun, A. I., Jannat, U. S. and Biswas, K.",IEEE Internet of Things Journal (Q1),https://ieeexplore.ieee.org/abstract/document/9372308/,"Peer-to-Peer (P2P) energy trading platforms are being actively designed, tested, and operated by engineers, power distribution companies, and prosumers. The assurance of the accountability of the conduct of different stakeholders through a robust trust management mechanism is imperative in such platforms. The usage of blockchain, as an underlying technology, can ensure numerous properties, such as immutability, transparency, and traceable execution of transactions, in addition to ensuring trust establishment among different entities of the system. Few blockchain-based decentralized energy trading platforms have been designed in the literature to build trust about the platform and among prosumers. However, none of these proposals have considered human-in-the-loop in the trust establishment process. Moreover, these solutions have considered trust only at a particular layer of the blockchain, such as at the application or consensus layer. To bridge this gap, this article presents a novel cross-layer trust-based consensus protocol that considers human-in-the-loop and employs fuzzy logic to address the issue of vagueness of trust values by offering human interpretable trust level. The experimental results demonstrate the efficiency and effectiveness of our proposed protocol in comparison to established consensus mechanisms. The analysis also shows the protocol is immune against selfish mining, 51% and Sybil attacks."
A Survey of Consensus Algorithms in Public Blockchain Systems for Crypto-currencies.,2021,journal,"Ferdous, M.S., Chowdhury, M. J. and Hoque, M. A. Journal of Network and Computer Applications",Journal of Network and Computer Applications (Q1),https://www.sciencedirect.com/science/article/abs/pii/S1084804521000618,"In recent years, crypto-currencies (a form of decentralised digital currencies) have been quite popular as an alternative form of payments. They are underpinned by a breakthrough technology called Blockchain which extensively use a number of cryptographic mechanisms and other advanced techniques from the domain of distributed computing. This blockchain technology has received unparalleled attention from academia, industry, and governments worldwide and is considered to have the potential to disrupt several application domains, other than currencies, touching all spheres of our lives. The sky-rocket anticipation of its potential has caused a wide-scale exploration of its usage in different application domains. This has resulted in a plethora of blockchain systems for various purposes. However, many of these blockchain systems suffer from serious shortcomings related to their performance and security, which need to be addressed before any wide-scale adoption can be achieved. A crucial component of any blockchain system is its underlying consensus algorithm, which determines its performance and security in many ways. Therefore, to address the limitations of different blockchain systems, several existing as well novel consensus algorithms have been........"
"Real, Forged or Deep Fake? Enabling the Ground Truth on the Internet.",2021,journal,"Mohammad A Hoque, M. H., Ferdous, M. S., Khan, M. and Tarkoma, S.",IEEE Access(Q1),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9628088,"The Digital Green Transition of the energy industry is accelerating as decarbonization and digitalization of the power market and system are gaining momentum. Unlocking the full and real potential of local energy markets is among the opportunities to be demystified in the coming years, with blockchain technology being a prominent enabler. Important subcomponents such as functional and fair local energy pricing mechanisms and management algorithms will be required for next-generation digital local energy trading and management platforms. Even though rapid digitalization of the energy sector offers considerable advantages, it also increases the cyber-physical risk levels of energy systems in general. The proposed framework of this paper accommodates considerable undiscovered aspects of democratization of the energy systems and future digital shared economy conventions. Nevertheless, privacy concerns must be addressed in tandem with the cyber-physical security of local energy markets and their ecosystem. This work proposes a joint privacy and cyber-physical security framework designed for local energy markets to improve cyber-physical resilience. All related parts, such as blockchain technology and self-sovereign identity, are used in an organized way to create a possible solution."
Improved Resilience of Local Energy Markets using Blockchain Technology and Self-Sovereign Identity.,2022,conference,"Cali, Ü., Dynge, M. F., Ferdous, M. S. and Halden, U","Proceedings of the IEEE 1st Global Emerging Technology Blockchain Forum: Blockchain & Beyond,",https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.21821427.v1,"The Digital Green Transition of the energy industry is accelerating as decarbonization and digitalization of the power market and system are gaining momentum. Unlocking the full and real potential of local energy markets is among the opportunities to be demystified in the coming years, with blockchain technology being a prominent enabler. Important subcomponents such as functional and fair local energy pricing mechanisms and management algorithms will be required for next-generation digital local energy trading and management platforms. Even though rapid digitalization of the energy sector offers considerable advantages, it also increases the cyber-physical risk levels of energy systems in general. The proposed framework of this paper accommodates considerable undiscovered aspects of democratization of the energy systems and future digital shared economy conventions. Nevertheless, privacy concerns must be addressed in tandem with the cyber-physical security of local energy markets and their ecosystem. This work proposes a joint privacy and cyber-physical security framework designed for local energy markets to improve cyber-physical resilience. All related parts, such as blockchain technology and self-sovereign identity, are used in an organized way to create a possible solution."
SSI meets Metaverse for Industry 4.0 and Beyond.,2022,conference,"Cali, Ü., Ferdous, M. S., Karaarslan, E., Gourisetti, S. N. G. and Mylrea, M.",Proceedings of the IEEE 1st Global Emerging Technology Blockchain Forum: Blockchain & Beyond,https://www.techrxiv.org/articles/preprint/SSI_meets_Metaverse_for_Industry_4_0_and_Beyond/21130375,"As the global industrial complex gears toward fulfilling the tenets of Industry 4.0 and beyond, technologies such as distributed ledger technologies, digital twins, and artificial intelligence become pivotal enablers. In the last decade, metaverse as a concept and technology found its place among crucial enablers for technology and digital advancement across several engineering domains. Metaverse has the potential to combine the elements from distributed computing platforms, the digital evolution of physical systems, and advanced learning systems to unearth a fully digitized world of comparative properties of the real world. We should ensure the privacy, integrity, and confidentiality of personal data. These requirements will lead to proper identity management in the metaverse. Given the complex nature of the metaverse, traditional centralized systems may not offer a viable identity management solution. Therefore, this study explores a decentralized identity management system called the Self-sovereign Identity (SSI) as a logical alternative to traditional centralized identity management systems. The proposed holistic framework aims to ignite new ideas and discussions related to the combined deployment of DLT, SSI, and metaverse to inspire new implementation areas within the Industry 4.0 environment. The paper also discusses various opportunities, enablers, technical \& privacy aspects, legislation requirements, and other barriers related to SSI implementation."
SSI4Web: A Self-sovereign Identity (SSI) Framework for the Web.,2022,conference,"Ferdous, M. S., Ionita, A. and Prinz, W.",Proceedings of the 4th International Congress on Blockchain and Applications (BLOCKCHAIN),https://link.springer.com/chapter/10.1007/978-3-031-21229-1_34,"The traditional protected web services rely on a user authentication process. The utilisation of an identifier (e.g. username, email address and so on) and credential (e.g. password) still remains the most widely deployed user authentication process, even though such an authentication process is one of the major sources of security breaches. Moreover, in this traditional setting, the management and sharing of user identity information is cumbersome with limited user controls over their identity data. In recent times, SSI has emerged as a new mechanism for managing and exchanging identity information in a more user-centric and privacy-friendly way. There are many explorations of SSI in different application domains, however, its utility for the web mostly remains unexplored. In this work, we present SSI4Web, a framework for integrating Self-sovereign Identity (SSI) for providing web services in a secure passwordless manner with much more user control and greater flexibility. We provide its architecture, discuss its implementation details, sketch out its use-case with an analysis of its advantages and limitations."
Managing health insurance using blockchain technology.,2022,book_chapter,"Ananna, T. A., Saifuzzaman, M., Chowdhury, M. J. M. and Ferdous, M. S.","Blockchain Technology in e-Healthcare Management, Chap. 4, pp. 89-125, IET,",https://arxiv.org/pdf/2306.10329,"Health insurance plays a significant role in ensuring quality healthcare. In response to the escalating costs of the medical industry, the demand for health insurance is
soaring. Additionally, those with health insurance are more likely to receive preventative care than those without health insurance. However, from granting health insurance to delivering services to insured individuals, the health insurance industry faces numerous obstacles. Fraudulent actions, false claims, a lack of transparency and data privacy, reliance on human effort and dishonesty from consumers, healthcare professionals, or even the insurer party itself, are the most common and
important hurdles towards success. Given these constraints, this chapter briefly covers the most immediate concerns in the health insurance industry and provides
insight into how blockchain technology integration can contribute to resolving these issues. This chapter finishes by highlighting existing limitations as well as
potential future directions."
Blockchain-based covid vaccination registration and monitoring.,2022,journal,"Nabil, S. S., Pran, M. S. A., Haque, A. A. A., Chakraborty, N. R., Chowdhury, M. J. M. and Ferdous, M. S.","Blockchain: Research and Applications, 3 (4)(Q1)",https://www.sciencedirect.com/science/article/pii/S2096720922000331,"COVID-19 has changed almost all aspects of our lives. Governments around the world have imposed lockdowns to slow down the transmissions. Fortunately, we have found the vaccine, in fact, a good number of them. However, managing the testing and vaccination process of the total population is a mammoth job. However, there are always delays or data silo problems in multi-organizational work. Therefore, streamlining this process is vital to improve efficiency and save more lives. Because of its effective data sharing mechanism among different entities with a number of security features, blockchain can be an effective tool for different applications in the health sector. Furthermore, blockchain provides a distributed system along with greater privacy, transparency, and authenticity. In this article, we have presented a blockchain-based system that seamlessly integrates testing and vaccination systems, allowing the system to be transparent. The instant verification of any tamper-proof COVID-19 test result has been developed, which will serve as “Test Certificates”. A transparent and efficient vaccination system has also been exhibited and implemented as the “Digital Vaccine Passport” (DVP) system. The infection rate-based prioritization will ensure a transparent and fair vaccination process as well as tackle the distribution issue of the limited amount of vaccine. The comparative review with other existing works is also discussed, highlighting a clear difference from the existing works. Our proposed system is distinctive on the basis of prioritization of vaccines and seamless integration of test certificates and vaccine passports, which will aid in controlling the pandemic situation. This system will also be handy in the case of tackling any future pandemics initially."
A Systematic Literature Review on Wearable Health Data Publishing under Differential Privacy.,2022,journal,"Saifuzzaman, M., Ananna, T. N., Chowdhury, M. J. M., Ferdous, M. S. and Chowdhury, F.","International Journal of Information Security, 21, 847–872",https://link.springer.com/article/10.1007/s10207-021-00576-1,"Wearable devices generate different types of physiological data about the individuals. These data can provide valuable insights for medical researchers and clinicians that cannot be availed through traditional measures. Researchers have historically relied on survey responses or observed behavior. Interestingly, physiological data can provide a richer amount of user cognition than that obtained from any other sources, including the user himself. Therefore, the inexpensive consumer-grade wearable devices have become a point of interest for the health researchers. In addition, they are also used in continuous remote health monitoring and sometimes by the insurance companies. However, the biggest concern for such kind of use cases is the privacy of the individuals. A few privacy mechanisms, such as abstraction and k-anonymity, are widely used in information systems. Recently, differential privacy (DP) has emerged as a proficient technique to publish privacy sensitive data, including data from wearable devices. In this paper, we have conducted a systematic literature review (SLR) to identify, select and critically appraise researches in DP as well as to understand different techniques and exiting use of DP in wearable data publishing. Based on our study, we have identified the limitations of proposed solutions and provided future directions."
